n_voters,n_alternatives,p_no_winner
159,8,0.4132
149,8,0.406
154,10,0.6016
163,4,0.1728
161,7,0.3776
167,4,0.1652
164,6,0.444
147,9,0.4612
158,9,0.5676
168,4,0.2788
161,5,0.252
144,10,0.6028
162,7,0.482
173,1,0.0
156,10,0.6132
172,2,0.0524
171,1,0.0
167,3,0.0804
170,2,0.0684
171,3,0.082
158,7,0.4768
170,4,0.2752
152,8,0.5304
172,1,0.0
153,9,0.454
165,4,0.1696
168,3,0.1652
164,7,0.4744
157,10,0.486
171,2,0.0
169,3,0.0904
171,4,0.1836
174,2,0.0556
173,3,0.0964
149,9,0.4764
170,3,0.1792
174,1,0.0
164,5,0.3636
172,4,0.2828
159,10,0.494
168,6,0.4348
173,2,0.0
175,2,0.0
164,8,0.5172
176,1,0.0
166,7,0.4776
165,5,0.2584
162,6,0.4096
159,7,0.358
175,1,0.0
151,9,0.4596
152,9,0.5672
167,7,0.3652
169,4,0.1572
155,8,0.4148
177,1,0.0
175,3,0.0928
170,6,0.43
172,5,0.3436
172,3,0.1872
174,4,0.2652
163,6,0.3108
165,8,0.4112
166,5,0.3676
163,9,0.466
168,7,0.4764
157,8,0.4056
177,2,0.0
166,8,0.5268
167,5,0.2512
164,9,0.5696
154,9,0.5576
175,4,0.168
150,10,0.588
162,9,0.5784
168,5,0.3488
172,6,0.4332
174,5,0.3396
174,3,0.1756
177,3,0.0852
178,2,0.0584
176,2,0.0472
165,6,0.3136
169,5,0.2452
178,1,0.0
167,8,0.41
155,9,0.4472
160,8,0.5308
179,2,0.0
173,4,0.164
166,6,0.4236
156,9,0.5584
163,10,0.4924
171,7,0.3512
170,5,0.3592
152,10,0.5916
164,10,0.6008
178,3,0.168
175,5,0.2404
179,1,0.0
163,7,0.38
180,2,0.0544
167,6,0.3016
174,6,0.4136
176,3,0.1812
167,9,0.4504
180,1,0.0
171,5,0.2608
159,9,0.4576
169,7,0.362
178,4,0.272
181,2,0.0
157,9,0.4436
160,9,0.5604
153,10,0.4776
181,1,0.0
165,10,0.5056
165,7,0.3672
162,8,0.5072
169,9,0.4672
169,6,0.3148
169,8,0.4176
173,5,0.2632
184,1,0.0
170,9,0.5624
182,1,0.0
180,4,0.2772
176,4,0.2688
167,10,0.4824
183,2,0.0
178,5,0.3564
171,8,0.4152
163,8,0.4172
161,8,0.416
155,10,0.4936
185,1,0.0
183,1,0.0
171,6,0.3216
179,3,0.0992
181,4,0.17
179,5,0.2576
177,4,0.17
183,3,0.1044
171,9,0.4484
180,3,0.1852
172,9,0.5604
174,8,0.5072
182,2,0.0568
170,8,0.522
180,5,0.3488
161,10,0.4708
184,3,0.1652
173,6,0.3112
173,7,0.3624
161,9,0.4616
173,9,0.4584
181,3,0.0996
176,5,0.346
179,6,0.32
170,7,0.4928
179,4,0.1724
184,2,0.0688
171,10,0.4764
182,3,0.1664
186,1,0.0
176,8,0.5096
182,5,0.3488
185,2,0.0
174,9,0.5408
177,5,0.256
160,10,0.5936
158,10,0.5824
187,1,0.0
186,3,0.1708
166,10,0.5912
189,1,0.0
188,2,0.0564
168,8,0.5312
181,6,0.2916
172,7,0.4612
179,7,0.372
175,6,0.32
172,8,0.534
176,7,0.4628
177,8,0.4212
186,2,0.052
188,1,0.0
184,5,0.3372
175,9,0.4556
173,10,0.4984
180,7,0.4656
186,4,0.2752
187,2,0.0
176,6,0.4336
188,3,0.1844
162,10,0.5864
183,6,0.3224
182,4,0.2748
185,3,0.0924
166,9,0.5712
165,9,0.4632
190,2,0.048
183,4,0.178
179,8,0.4084
174,7,0.464
189,3,0.0852
190,1,0.0
177,6,0.306
180,8,0.5244
177,9,0.4664
184,4,0.2512
181,5,0.2564
178,6,0.4116
175,7,0.3716
193,1,0.0
185,6,0.3048
168,9,0.5532
189,2,0.0
191,1,0.0
187,5,0.252
192,2,0.058
183,7,0.3644
187,3,0.0828
191,3,0.0964
188,5,0.3376
192,1,0.0
186,6,0.4324
194,1,0.0
173,8,0.3964
185,4,0.17
183,5,0.2544
182,8,0.5072
180,6,0.4124
177,10,0.488
191,2,0.0
181,7,0.3604
189,5,0.2324
183,8,0.4124
177,7,0.3728
187,4,0.1856
196,1,0.0
188,6,0.4156
185,5,0.2596
178,7,0.4708
181,9,0.4448
190,3,0.1672
190,5,0.3372
179,10,0.4856
193,2,0.0
194,3,0.1728
188,4,0.2744
182,6,0.4352
195,1,0.0
175,8,0.4072
197,1,0.0
193,4,0.178
191,5,0.2584
180,10,0.5832
194,2,0.0636
189,4,0.1716
186,5,0.3668
168,10,0.6124
192,3,0.174
192,4,0.2812
186,8,0.5156
190,6,0.4192
198,1,0.0
169,10,0.49
193,3,0.0808
196,3,0.1656
195,2,0.0
184,9,0.5472
184,6,0.4268
170,10,0.5896
191,6,0.3036
195,4,0.1788
181,10,0.4908
197,3,0.0764
191,4,0.1704
196,2,0.0568
194,5,0.356
190,4,0.2828
196,4,0.26
182,7,0.4544
185,9,0.4624
178,8,0.52
188,8,0.5088
197,2,0.0
186,9,0.5532
193,6,0.3116
195,3,0.0912
199,1,0.0
172,10,0.5924
184,10,0.5848
201,1,0.0
176,9,0.5588
187,6,0.3216
182,9,0.5676
189,8,0.4184
198,2,0.0564
192,7,0.4588
184,7,0.4688
200,1,0.0
198,4,0.2724
194,4,0.2712
188,9,0.5624
185,7,0.38
199,2,0.0
190,8,0.514
186,10,0.5772
174,10,0.5764
192,5,0.3652
199,4,0.1848
181,8,0.4176
178,9,0.5516
202,2,0.0544
196,6,0.4052
191,8,0.3992
200,2,0.0652
186,7,0.4844
189,6,0.3036
178,10,0.5936
193,5,0.248
198,3,0.1672
192,8,0.526
197,5,0.2512
200,4,0.2576
187,10,0.5024
201,2,0.0
202,1,0.0
184,8,0.5264
195,7,0.3668
199,3,0.0812
188,10,0.5916
179,9,0.4364
199,5,0.242
194,7,0.4744
187,7,0.37
201,4,0.1664
203,1,0.0
197,4,0.1616
175,10,0.4796
180,9,0.56
196,7,0.4664
201,3,0.0928
203,3,0.092
195,5,0.2476
188,7,0.458
200,3,0.1748
176,10,0.5972
194,8,0.504
204,1,0.0
192,9,0.542
202,4,0.2584
192,6,0.4328
196,5,0.3704
205,2,0.0
204,3,0.1632
185,8,0.4116
199,6,0.3068
189,7,0.3636
201,5,0.2472
203,2,0.0
205,1,0.0
207,1,0.0
203,4,0.1712
197,7,0.3684
204,2,0.054
202,3,0.1728
200,5,0.342
198,7,0.4668
190,7,0.468
200,6,0.418
191,9,0.4232
206,1,0.0
193,9,0.4372
187,9,0.4524
194,6,0.4008
194,9,0.5384
191,10,0.4856
183,9,0.4632
187,8,0.4084
198,5,0.3568
198,6,0.4212
199,7,0.3684
195,6,0.3168
201,6,0.316
191,7,0.3788
192,10,0.5744
210,1,0.0
209,2,0.0
197,6,0.3168
195,9,0.458
207,3,0.086
208,1,0.0
206,2,0.054
202,6,0.4168
206,4,0.2768
204,5,0.3348
208,3,0.1732
209,1,0.0
193,7,0.354
207,2,0.0
209,3,0.084
201,7,0.3704
205,3,0.0832
205,5,0.244
204,4,0.2804
208,2,0.0656
211,2,0.0
183,10,0.4776
206,5,0.34
206,3,0.168
182,10,0.588
211,1,0.0
212,2,0.0504
189,10,0.4784
198,9,0.5504
211,3,0.0852
213,2,0.0
212,1,0.0
207,5,0.254
210,2,0.0536
202,5,0.344
203,7,0.3612
205,6,0.3164
210,4,0.264
208,5,0.3312
213,1,0.0
210,3,0.174
205,4,0.1788
193,8,0.408
206,6,0.4196
213,3,0.0828
209,5,0.2504
215,1,0.0
202,8,0.5144
203,5,0.252
189,9,0.4548
214,1,0.0
200,9,0.556
207,6,0.316
185,10,0.4768
210,5,0.35
207,4,0.1788
190,9,0.56
214,3,0.1672
216,1,0.0
205,7,0.4032
195,10,0.5044
196,9,0.5572
204,6,0.3992
212,4,0.2692
194,10,0.5888
209,6,0.3076
217,1,0.0
208,4,0.2808
202,9,0.5396
214,2,0.0576
209,4,0.1732
204,8,0.5176
212,3,0.1676
196,8,0.498
214,4,0.2528
208,6,0.4224
210,6,0.414
218,1,0.0
217,2,0.0
196,10,0.5916
215,2,0.0
200,7,0.4512
203,6,0.3108
202,7,0.4776
211,5,0.2468
195,8,0.4436
201,10,0.4904
211,4,0.178
209,7,0.3568
197,8,0.4056
204,9,0.5276
212,6,0.4112
217,3,0.0872
216,2,0.0628
190,10,0.5764
219,2,0.0
198,8,0.5056
216,4,0.2628
213,6,0.3036
215,3,0.0972
218,3,0.1792
213,4,0.1708
206,7,0.4656
217,4,0.168
208,7,0.4684
219,1,0.0
207,8,0.412
214,6,0.4068
199,8,0.4012
219,3,0.0908
211,6,0.3016
220,1,0.0
216,3,0.1536
218,2,0.0584
216,5,0.3544
221,2,0.0
222,1,0.0
200,8,0.5204
203,10,0.4768
198,10,0.5748
220,3,0.162
204,7,0.4556
221,1,0.0
215,6,0.3148
217,5,0.2552
220,2,0.0472
219,4,0.1676
212,5,0.3276
215,4,0.1748
214,7,0.4668
213,7,0.3664
211,8,0.4116
213,5,0.238
201,8,0.4248
197,9,0.4456
211,7,0.3636
220,4,0.252
212,8,0.5056
209,9,0.4484
216,6,0.4196
193,10,0.488
223,2,0.0
218,4,0.2536
217,6,0.3172
199,9,0.4524
215,7,0.3728
208,10,0.5796
214,5,0.3324
215,5,0.252
222,3,0.1568
223,1,0.0
222,2,0.058
219,5,0.252
211,9,0.4388
207,7,0.3684
223,3,0.0872
206,9,0.5372
218,6,0.3996
220,5,0.344
197,10,0.4872
224,1,0.0
203,8,0.408
212,9,0.5468
225,2,0.0
222,4,0.258
221,3,0.0884
224,3,0.1556
210,10,0.5896
225,1,0.0
221,5,0.244
215,8,0.416
227,1,0.0
228,1,0.0
210,7,0.4724
201,9,0.4432
224,2,0.062
226,1,0.0
220,6,0.4156
225,3,0.0888
218,7,0.4556
214,9,0.5436
227,2,0.0
205,8,0.4364
224,4,0.27
206,8,0.5008
199,10,0.4956
212,10,0.5808
229,1,0.0
228,2,0.0512
210,9,0.5304
219,7,0.3636
212,7,0.4708
208,8,0.5144
203,9,0.4364
218,5,0.3536
227,3,0.0848
216,7,0.4808
225,4,0.184
226,2,0.0508
200,10,0.5824
229,2,0.0
213,8,0.3996
226,4,0.2548
218,8,0.498
224,5,0.3428
230,1,0.0
202,10,0.5964
221,4,0.1788
216,9,0.5468
223,4,0.1848
225,5,0.2508
222,6,0.4164
229,3,0.0924
223,6,0.3004
209,8,0.408
227,4,0.1736
221,7,0.3652
210,8,0.5008
231,2,0.0
226,5,0.3468
205,9,0.4472
228,4,0.2688
226,3,0.1776
223,5,0.254
220,8,0.5088
222,7,0.4528
231,1,0.0
213,9,0.4272
233,1,0.0
227,5,0.2528
214,10,0.5668
228,3,0.1656
219,6,0.3164
208,9,0.5476
207,9,0.4464
233,2,0.0
232,1,0.0
228,5,0.346
222,5,0.338
226,6,0.4104
230,2,0.0508
215,9,0.4384
204,10,0.5852
217,10,0.4812
234,2,0.0492
221,8,0.4124
231,4,0.1788
220,7,0.4748
234,1,0.0
217,7,0.3824
233,3,0.0944
218,10,0.5792
232,2,0.0488
214,8,0.5216
235,2,0.0
228,6,0.4168
223,8,0.4152
232,4,0.2612
221,6,0.3224
230,3,0.1612
205,10,0.4932
226,7,0.4636
206,10,0.5708
236,1,0.0
221,9,0.4428
229,5,0.2432
235,1,0.0
231,3,0.0816
231,5,0.2532
233,4,0.1692
229,6,0.3084
235,3,0.0896
219,10,0.4928
227,7,0.3784
222,9,0.5444
229,4,0.1904
232,3,0.1664
207,10,0.4924
234,4,0.2648
225,8,0.4116
228,7,0.4452
230,6,0.4088
237,2,0.0
230,4,0.2692
216,8,0.5068
225,7,0.3808
233,5,0.2512
224,9,0.5472
231,6,0.3084
217,8,0.4208
224,6,0.4044
237,1,0.0
209,10,0.4952
235,4,0.1724
234,3,0.164
237,3,0.0808
221,10,0.4732
238,1,0.0
227,8,0.4136
240,1,0.0
236,2,0.0496
239,1,0.0
239,2,0.0
236,4,0.256
230,7,0.4644
225,6,0.294
236,3,0.1756
238,3,0.1568
240,2,0.0564
232,5,0.3404
241,1,0.0
211,10,0.482
237,4,0.1716
216,10,0.5752
231,7,0.3664
239,3,0.0828
219,8,0.4216
234,5,0.3552
230,5,0.3448
229,8,0.4232
223,7,0.3796
238,2,0.0544
218,9,0.5376
238,4,0.2672
240,3,0.1548
243,1,0.0
230,8,0.5084
227,6,0.3072
233,7,0.372
224,7,0.46
224,8,0.5072
217,9,0.4552
237,5,0.2408
225,10,0.4856
226,10,0.576
231,8,0.4044
242,1,0.0
213,10,0.5
244,1,0.0
243,2,0.0
238,5,0.3496
234,7,0.4696
245,1,0.0
242,2,0.0548
241,2,0.0
229,9,0.4504
227,10,0.498
222,8,0.5168
236,6,0.4192
230,9,0.5148
241,4,0.1632
235,7,0.36
233,8,0.4208
220,9,0.544
219,9,0.4476
242,3,0.1464
245,2,0.0
246,1,0.0
242,4,0.2636
238,6,0.4084
244,3,0.1408
231,9,0.4592
243,3,0.098
234,8,0.5288
232,9,0.55
235,5,0.2436
215,10,0.4796
234,6,0.3876
246,2,0.0564
241,3,0.0828
239,4,0.1704
247,1,0.0
229,10,0.4748
245,3,0.0796
232,6,0.4032
244,2,0.0452
230,10,0.5744
236,5,0.3484
235,8,0.4184
244,4,0.2528
229,7,0.3576
226,8,0.4952
248,1,0.0
242,5,0.3204
240,4,0.2644
246,3,0.154
247,2,0.0
236,8,0.5172
243,5,0.2524
239,7,0.3628
241,6,0.2972
245,4,0.1668
235,6,0.3144
223,9,0.4364
241,5,0.2496
250,1,0.0
239,5,0.2352
224,10,0.578
249,2,0.0
246,4,0.2792
233,6,0.3032
240,5,0.3396
228,8,0.5008
232,7,0.4532
243,4,0.1748
243,6,0.2836
250,2,0.054
249,1,0.0
248,2,0.0508
245,5,0.242
233,10,0.4832
247,4,0.168
220,10,0.5824
241,7,0.372
234,10,0.5576
240,6,0.4116
237,6,0.3148
227,9,0.4344
232,8,0.5264
225,9,0.4492
242,7,0.4656
222,10,0.5804
240,8,0.53
228,10,0.5672
237,9,0.4384
233,9,0.4424
239,6,0.318
228,9,0.5524
247,3,0.0884
248,3,0.15
247,5,0.244
243,7,0.3784
226,9,0.5528
236,7,0.4496
240,7,0.4584
249,3,0.094
248,5,0.3532
237,7,0.3492
237,8,0.422
239,8,0.3868
246,5,0.3316
244,5,0.3312
250,3,0.1628
238,7,0.4468
250,4,0.2556
242,8,0.5132
249,4,0.166
223,10,0.4876
240,9,0.5488
237,10,0.4808
245,7,0.3712
248,4,0.2484
250,5,0.3448
238,10,0.5868
242,6,0.4164
243,8,0.4044
248,6,0.396
236,10,0.5792
246,7,0.4716
234,9,0.526
245,6,0.314
238,8,0.5004
244,6,0.4064
239,10,0.4912
249,5,0.2564
236,9,0.5512
249,6,0.3112
238,9,0.5468
247,7,0.38
235,9,0.4488
231,10,0.4908
244,7,0.4568
246,6,0.4076
240,10,0.5576
248,7,0.4704
241,8,0.4156
232,10,0.5896
247,6,0.3132
243,9,0.458
246,8,0.5128
250,6,0.4036
239,9,0.4604
249,7,0.386
242,10,0.576
250,7,0.4512
247,8,0.4204
244,8,0.496
248,8,0.4824
245,8,0.4188
235,10,0.4728
246,9,0.5164
242,9,0.548
249,8,0.4064
241,9,0.4496
250,8,0.5056
247,9,0.4628
244,9,0.5416
248,9,0.5528
246,10,0.5664
241,10,0.4808
243,10,0.4672
244,10,0.5748
245,9,0.4464
248,10,0.568
245,10,0.4712
249,9,0.45
250,9,0.546
249,10,0.4712
247,10,0.4932
250,10,0.5712
