n_voters,n_alternatives,p_no_winner
30,6,0.5452
42,2,0.1284
40,3,0.2716
37,5,0.2396
35,4,0.162
27,10,0.4748
26,8,0.6604
42,1,0.0
40,2,0.1228
35,5,0.2468
23,9,0.4324
36,4,0.388
24,9,0.6932
33,5,0.2424
42,3,0.2552
31,6,0.298
41,2,0.0
21,10,0.4692
43,1,0.0
41,4,0.1632
31,9,0.412
29,7,0.3716
28,8,0.6352
39,3,0.0832
37,4,0.1668
32,6,0.5312
27,8,0.3932
40,5,0.4548
46,1,0.0
44,1,0.0
23,10,0.474
38,4,0.3852
41,3,0.0792
45,2,0.0
44,3,0.2616
24,10,0.7088
34,6,0.5328
43,2,0.0
33,6,0.3176
41,5,0.2384
45,1,0.0
39,6,0.3096
37,7,0.362
34,9,0.6612
31,7,0.3508
27,9,0.4336
39,4,0.1776
29,8,0.4104
44,2,0.116
45,3,0.0808
26,10,0.692
42,4,0.3628
40,4,0.3808
46,3,0.2524
43,3,0.0836
36,8,0.6192
38,5,0.4572
39,7,0.3528
47,1,0.0
33,10,0.4832
35,9,0.4408
39,5,0.2564
36,6,0.5128
34,10,0.684
40,7,0.5908
33,7,0.3548
50,1,0.0
46,2,0.12
48,1,0.0
34,7,0.5768
32,10,0.694
31,8,0.408
41,7,0.3664
47,2,0.0
44,4,0.3644
49,1,0.0
32,8,0.6368
50,2,0.114
39,8,0.4136
51,1,0.0
30,9,0.6548
37,6,0.3044
43,6,0.3064
45,5,0.2432
43,4,0.1808
47,4,0.1868
38,6,0.508
35,7,0.35
48,2,0.1152
44,6,0.5252
49,3,0.0924
36,7,0.5612
46,5,0.456
50,3,0.2532
34,8,0.6312
49,2,0.0
33,8,0.4036
43,7,0.3652
41,8,0.418
47,3,0.0812
42,5,0.4536
45,4,0.1804
45,6,0.32
40,9,0.6408
49,4,0.1892
29,10,0.4696
40,6,0.5136
51,3,0.0812
43,5,0.2548
52,1,0.0
32,9,0.6548
44,7,0.5756
48,3,0.246
30,10,0.6808
38,8,0.61
38,7,0.5832
46,4,0.3556
35,8,0.4252
53,2,0.0
41,6,0.314
33,9,0.444
52,3,0.2412
51,2,0.0
54,2,0.1068
43,8,0.4076
44,5,0.4364
53,1,0.0
39,10,0.468
42,6,0.5204
42,9,0.644
52,2,0.1128
54,1,0.0
55,2,0.0
52,4,0.346
54,3,0.2364
57,1,0.0
55,1,0.0
48,4,0.3568
31,10,0.482
37,8,0.4144
56,2,0.108
56,1,0.0
55,3,0.0888
35,10,0.4864
