"100hz: Time (s)","100hz: Current (A)","100hz: Potential (V)","250hz: Time (s)","250hz: Current (A)","250hz: Potential (V)","400hz: Time (s)","400hz: Current (A)","400hz: Potential (V)","550hz: Time (s)","550hz: Current (A)","550hz: Potential (V)","700hz: Time (s)","700hz: Current (A)","700hz: Potential (V)","850hz: Time (s)","850hz: Current (A)","850hz: Potential (V)","1000hz: Time (s)","1000hz: Current (A)","1000hz: Potential (V)"
0.033,-0.0110626220703,0.747871398926,0.0033,-0.0265693664551,-1.33075714111,0.0033,-0.00406265258789,-2.13890075684,0.0033,-0.0718879699707,-0.297546386719,0.0033,0.0631523132324,-1.41887664795,0.0033,-0.0511932373047,-1.96266174316,0.0033,-0.0922584533691,1.21269226074
0.034,-0.013484954834,-0.537490844727,0.0034,-0.0241279602051,-1.56154632568,0.0034,0.0090217590332,-2.09331512451,0.0034,-0.0691413879395,-0.984191894531,0.0034,0.0862693786621,-0.622749328613,0.0034,0.00810623168945,-2.09331512451,0.0034,-0.127544403076,0.0185012817383
0.035,-0.00862121582031,-1.61018371582,0.0035,-0.0192642211914,-1.74999237061,0.0035,0.0199699401855,-1.90811157227,0.0035,-0.0557708740234,-1.55258178711,0.0035,0.0935745239258,0.270652770996,0.0035,0.0607299804688,-1.64070129395,0.0035,-0.119934082031,-1.20010375977
0.036,-0.00101089477539,-2.04181671143,0.0036,-0.014705657959,-1.89895629883,0.0036,0.0318336486816,-1.62239074707,0.0036,-0.0338745117188,-1.9567489624,0.0036,0.0820159912109,1.10931396484,0.0036,0.101184844971,-0.756454467773,0.0036,-0.0572776794434,-1.97792053223
0.037,0.00688552856445,-1.67407989502,0.0037,-0.00923156738281,-2.00519561768,0.0037,0.0424766540527,-1.23043060303,0.0037,-0.00953674316406,-2.12383270264,0.0037,0.0531196594238,1.73530578613,0.0037,0.112438201904,0.325393676758,0.0037,0.0254440307617,-2.01435089111
0.038,0.0120544433594,-0.634765625,0.0038,-0.00436782836914,-2.06298828125,0.0038,0.0485610961914,-0.759315490723,0.0038,0.0157165527344,-2.04486846924,0.0038,0.0132751464844,2.01797485352,0.0038,0.091438293457,1.3069152832,0.0038,0.0941848754883,-1.28517150879
0.039,0.0126647949219,0.577545166016,0.0039,0.00110626220703,-2.05688476562,0.0039,0.0537300109863,-0.251960754395,0.0039,0.0370025634766,-1.73492431641,0.0039,-0.0232124328613,1.89952850342,0.0039,0.0424766540527,1.9115447998,0.0039,0.131282806396,-0.0909805297852
0.04,0.00871658325195,1.65328979492,0.004,0.00627517700195,-2.00824737549,0.004,0.0537300109863,0.267601013184,0.004,0.0561714172363,-1.22127532959,0.004,-0.0569725036621,1.41639709473,0.004,-0.014705657959,1.97238922119,0.004,0.116081237793,1.11846923828
0.041,0.000495910644531,2.09999084473,0.0041,0.011157989502,-1.90505981445,0.0041,0.0509834289551,0.765991210938,0.0041,0.0695419311523,-0.568008422852,0.0041,-0.081615447998,0.656700134277,0.0041,-0.064582824707,1.46198272705,0.0041,0.0534248352051,1.89952850342
0.042,-0.00679016113281,1.7505645752,0.0042,0.0157165527344,-1.75914764404,0.0042,0.0449180603027,1.22489929199,0.0042,0.0735092163086,0.139999389648,0.0042,-0.0919532775879,-0.236701965332,0.0042,-0.102005004883,0.541114807129,0.0042,-0.0250434875488,1.92985534668
