"50: Time (s)","50: Current (A)","50: Potential (V)","100: Time (s)","100: Current (A)","100: Potential (V)","150: Time (s)","150: Current (A)","150: Potential (V)","200: Time (s)","200: Current (A)","200: Potential (V)","250: Time (s)","250: Current (A)","250: Potential (V)","300: Time (s)","300: Current (A)","300: Potential (V)","350: Time (s)","350: Current (A)","350: Potential (V)","400: Time (s)","400: Current (A)","400: Potential (V)","450: Time (s)","450: Current (A)","450: Potential (V)","500: Time (s)","500: Current (A)","500: Potential (V)","550: Time (s)","550: Current (A)","550: Potential (V)","600: Time (s)","600: Current (A)","600: Potential (V)","650: Time (s)","650: Current (A)","650: Potential (V)","700: Time (s)","700: Current (A)","700: Potential (V)","750: Time (s)","750: Current (A)","750: Potential (V)","800: Time (s)","800: Current (A)","800: Potential (V)","850: Time (s)","850: Current (A)","850: Potential (V)","900: Time (s)","900: Current (A)","900: Potential (V)","950: Time (s)","950: Current (A)","950: Potential (V)","1000: Time (s)","1000: Current (A)","1000: Potential (V)","1050: Time (s)","1050: Current (A)","1050: Potential (V)","1100: Time (s)","1100: Current (A)","1100: Potential (V)","1150: Time (s)","1150: Current (A)","1150: Potential (V)","1200: Time (s)","1200: Current (A)","1200: Potential (V)","1250: Time (s)","1250: Current (A)","1250: Potential (V)","1300: Time (s)","1300: Current (A)","1300: Potential (V)"
0.001,0.00923156738281,0.000953674316406,0.001,0.00194549560547,-0.00820159912109,0.001,-0.0241088867188,-0.0112533569336,0.001,-0.015926361084,-0.0173568725586,0.001,0.0304412841797,-0.0354766845703,0.001,-0.00955581665039,0.00686645507812,0.001,-0.0522994995117,-0.0202178955078,0.001,0.00377655029297,-0.0293731689453,0.001,-0.0356292724609,-0.0263214111328,0.001,-0.0641059875488,-0.00209808349609,0.001,0.0489234924316,-0.0354766845703,0.001,0.0680160522461,-0.0354766845703,0.001,-0.0728988647461,-0.00209808349609,0.001,0.0404357910156,-0.00514984130859,0.001,0.0946807861328,-0.0143051147461,0.001,-0.115337371826,-0.0112533569336,0.001,-0.0938034057617,-0.0232696533203,0.001,0.0274085998535,0.00400543212891,0.001,0.0946807861328,-0.0293731689453,0.001,-0.0883483886719,-0.0143051147461,0.001,-0.0789642333984,0.00400543212891,0.001,-0.0610733032227,-0.00514984130859,0.001,-0.0629043579102,-0.0232696533203,0.001,-0.0201606750488,-0.0112533569336,0.001,0.00982284545898,0.00991821289062,0.001,0.0643730163574,-0.0293731689453
0.0011,0.0101280212402,0.000953674316406,0.0011,-0.000171661376953,-0.0143051147461,0.0011,-0.0253295898438,-0.0143051147461,0.0011,-0.0125885009766,-0.0263214111328,0.0011,0.0255966186523,-0.0354766845703,0.0011,-0.000476837158203,-0.00209808349609,0.0011,-0.0432014465332,-0.0202178955078,0.0011,-0.0150108337402,-0.0263214111328,0.0011,-0.0144195556641,-0.0263214111328,0.0011,-0.0786590576172,-0.00209808349609,0.0011,0.0171089172363,-0.0293731689453,0.0011,0.0377082824707,-0.0263214111328,0.0011,-0.0332069396973,-0.00514984130859,0.0011,-0.00593185424805,-0.00514984130859,0.0011,0.0761985778809,-0.0112533569336,0.0011,-0.112609863281,-0.0173568725586,0.0011,-0.0892639160156,-0.0263214111328,0.0011,-0.0262260437012,0.00991821289062,0.0011,0.0586318969727,-0.0293731689453,0.0011,-0.0465393066406,-0.0173568725586,0.0011,-0.044116973877,-0.00209808349609,0.0011,-0.00682830810547,-0.00820159912109,0.0011,-0.0641059875488,-0.0293731689453,0.0011,-0.0641059875488,-0.0112533569336,0.0011,-0.0462341308594,0.0190734863281,0.0011,0.0213432312012,-0.0232696533203
0.0012,0.0107383728027,0.00400543212891,0.0012,0.000438690185547,-0.0112533569336,0.0012,-0.0265312194824,-0.0143051147461,0.0012,-0.00896453857422,-0.0202178955078,0.0012,0.0201416015625,-0.0293731689453,0.0012,0.00862121582031,-0.00209808349609,0.0012,-0.0310707092285,-0.0232696533203,0.0012,-0.0313758850098,-0.0293731689453,0.0012,0.00892639160156,-0.0293731689453,0.0012,-0.0838088989258,-0.00209808349609,0.0012,-0.0162315368652,-0.0293731689453,0.0012,0.00104904174805,-0.0263214111328,0.0012,0.00982284545898,-0.0112533569336,0.0012,-0.049877166748,-0.00209808349609,0.0012,0.039234161377,-0.0112533569336,0.0012,-0.0859260559082,-0.0202178955078,0.0012,-0.0577545166016,-0.0324249267578,0.0012,-0.0774383544922,0.0129699707031,0.0012,0.00436782836914,-0.0232696533203,0.0012,0.011043548584,-0.0232696533203,0.0012,0.0128555297852,-0.00514984130859,0.0012,0.0489234924316,-0.00820159912109,0.0012,-0.0280570983887,-0.0385284423828,0.0012,-0.0728988647461,-0.0202178955078,0.0012,-0.0816917419434,0.0129699707031,0.0012,-0.0341033935547,-0.0202178955078
0.0013,0.011043548584,0.000953674316406,0.0013,-0.000171661376953,-0.0112533569336,0.0013,-0.0271415710449,-0.0143051147461,0.0013,-0.00471115112305,-0.0232696533203,0.0013,0.0137710571289,-0.0354766845703,0.0013,0.0186157226562,-0.00209808349609,0.0013,-0.0189590454102,-0.0202178955078,0.0013,-0.0456237792969,-0.0293731689453,0.0013,0.0319480895996,-0.0354766845703,0.0013,-0.0810813903809,0.000953674316406,0.0013,-0.047435760498,-0.0263214111328,0.0013,-0.0362396240234,-0.0202178955078,0.0013,0.0501441955566,-0.0143051147461,0.0013,-0.0838088989258,0.000953674316406,0.0013,-0.00986099243164,-0.00514984130859,0.0013,-0.0407791137695,-0.0232696533203,0.0013,-0.00865936279297,-0.0385284423828,0.0013,-0.108051300049,0.00991821289062,0.0013,-0.0522994995117,-0.0202178955078,0.0013,0.0613594055176,-0.0232696533203,0.0013,0.0668144226074,-0.0112533569336,0.0013,0.080451965332,-0.00514984130859,0.0013,0.0271034240723,-0.0385284423828,0.0013,-0.0416946411133,-0.0293731689453,0.0013,-0.0747108459473,0.000953674316406,0.0013,-0.0680541992188,-0.0263214111328
0.0014,0.0116539001465,0.000953674316406,0.0014,-0.000782012939453,-0.0143051147461,0.0014,-0.0274467468262,-0.0143051147461,0.0014,-0.00137329101562,-0.0263214111328,0.0014,0.00709533691406,-0.0293731689453,0.0014,0.0255966186523,-0.00514984130859,0.0014,-0.00593185424805,-0.0232696533203,0.0014,-0.0562286376953,-0.0263214111328,0.0014,0.0540733337402,-0.0324249267578,0.0014,-0.0701713562012,0.000953674316406,0.0014,-0.0710868835449,-0.0263214111328,0.0014,-0.0680541992188,-0.0173568725586,0.0014,0.080451965332,-0.0143051147461,0.0014,-0.100173950195,-0.00514984130859,0.0014,-0.0595664978027,-0.00209808349609,0.0014,0.0113487243652,-0.0293731689453,0.0014,0.0455856323242,-0.0415802001953,0.0014,-0.108661651611,0.00686645507812,0.0014,-0.086841583252,-0.0202178955078,0.0014,0.0843811035156,-0.0173568725586,0.0014,0.0962066650391,-0.00514984130859,0.0014,0.0728607177734,0.00400543212891,0.0014,0.0755882263184,-0.0385284423828,0.0014,0.0140762329102,-0.0263214111328,0.0014,-0.0319862365723,-0.00514984130859,0.0014,-0.0583457946777,-0.0354766845703
0.0015,0.012264251709,0.000953674316406,0.0015,-0.00167846679688,-0.0112533569336,0.0015,-0.0277519226074,-0.0143051147461,0.0015,0.0013542175293,-0.0232696533203,0.0015,-0.0010871887207,-0.0293731689453,0.0015,0.0349807739258,-0.00514984130859,0.0015,0.00680923461914,-0.0263214111328,0.0015,-0.0635147094727,-0.0263214111328,0.0015,0.071964263916,-0.0324249267578,0.0015,-0.052604675293,-0.00209808349609,0.0015,-0.0877571105957,-0.0202178955078,0.0015,-0.0901794433594,-0.0173568725586,0.0015,0.0937843322754,-0.0143051147461,0.0015,-0.0959396362305,-0.00514984130859,0.0015,-0.100173950195,-0.00209808349609,0.0015,0.0583267211914,-0.0293731689453,0.0015,0.0886344909668,-0.0446319580078,0.0015,-0.0795745849609,0.00400543212891,0.0015,-0.0907897949219,-0.0263214111328,0.0015,0.0755882263184,-0.0112533569336,0.0015,0.0883293151855,-0.00209808349609,0.0015,0.0310516357422,0.00991821289062,0.0015,0.0916481018066,-0.0354766845703,0.0015,0.062255859375,-0.0293731689453,0.0015,0.0222587585449,-0.00514984130859,0.0015,-0.0116920471191,-0.0385284423828
0.0016,0.012264251709,-0.00209808349609,0.0016,-0.00198364257812,-0.0143051147461,0.0016,-0.0265312194824,-0.0173568725586,0.0016,0.00619888305664,-0.0263214111328,0.0016,-0.00682830810547,-0.0324249267578,0.0016,0.0428581237793,-0.00820159912109,0.0016,0.0207328796387,-0.0232696533203,0.0016,-0.0677490234375,-0.0202178955078,0.0016,0.0843811035156,-0.0354766845703,0.0016,-0.0313758850098,-0.00209808349609,0.0016,-0.0892639160156,-0.0202178955078,0.0016,-0.0980567932129,-0.0173568725586,0.0016,0.0913619995117,-0.0173568725586,0.0016,-0.0713920593262,-0.00514984130859,0.0016,-0.118961334229,0.000953674316406,0.0016,0.0868034362793,-0.0293731689453,0.0016,0.108013153076,-0.0415802001953,0.0016,-0.0289535522461,-0.00514984130859,0.0016,-0.0613784790039,-0.0293731689453,0.0016,0.0328636169434,-0.00514984130859,0.0016,0.0483131408691,0.00686645507812,0.0016,-0.0265312194824,0.0129699707031,0.0016,0.0677108764648,-0.0263214111328,0.0016,0.0786209106445,-0.0173568725586,0.0016,0.0577163696289,-0.00514984130859,0.0016,0.0413513183594,-0.0385284423828
0.0017,0.0113487243652,0.000953674316406,0.0017,-0.00259399414062,-0.0112533569336,0.0017,-0.0256156921387,-0.0143051147461,0.0017,0.00953674316406,-0.0293731689453,0.0017,-0.0125885009766,-0.0293731689453,0.0017,0.0489234924316,-0.0112533569336,0.0017,0.0328636169434,-0.0293731689453,0.0017,-0.0701713562012,-0.0202178955078,0.0017,0.0913619995117,-0.0354766845703,0.0017,-0.00320434570312,-0.00209808349609,0.0017,-0.0798797607422,-0.0232696533203,0.0017,-0.0910758972168,-0.0143051147461,0.0017,0.0713539123535,-0.0143051147461,0.0017,-0.0313758850098,-0.0143051147461,0.0017,-0.115337371826,-0.00514984130859,0.0017,0.0934791564941,-0.0293731689453,0.0017,0.098934173584,-0.0385284423828,0.0017,0.0259017944336,-0.00514984130859,0.0017,-0.00865936279297,-0.0385284423828,0.0017,-0.0247192382812,0.000953674316406,0.0017,-0.00865936279297,0.00991821289062,0.0017,-0.0738143920898,0.0129699707031,0.0017,0.0164985656738,-0.0232696533203,0.0017,0.0525665283203,-0.0112533569336,0.0017,0.0519561767578,0.00991821289062,0.0017,0.0671005249023,-0.0354766845703
0.0018,0.0134658813477,-0.00209808349609,0.0018,-0.00289916992188,-0.0112533569336,0.0018,-0.0241088867188,-0.0173568725586,0.0018,0.012264251709,-0.0263214111328,0.0018,-0.0180435180664,-0.0293731689453,0.0018,0.0543785095215,-0.0112533569336,0.0018,0.0431632995605,-0.0293731689453,0.0018,-0.0662422180176,-0.0202178955078,0.0018,0.0916481018066,-0.0385284423828,0.0018,0.0246810913086,-0.00514984130859,0.0018,-0.0595664978027,-0.0232696533203,0.0018,-0.0701713562012,-0.0173568725586,0.0018,0.0370979309082,-0.0112533569336,0.0018,0.0155830383301,-0.0173568725586,0.0018,-0.0901794433594,-0.0112533569336,0.0018,0.071964263916,-0.0263214111328,0.0018,0.0649833679199,-0.0324249267578,0.0018,0.0698280334473,-0.00514984130859,0.0018,0.0489234924316,-0.0415802001953,0.0018,-0.0762367248535,0.00400543212891,0.0018,-0.0580596923828,0.00991821289062,0.0018,-0.0883483886719,0.00686645507812,0.0018,-0.0374412536621,-0.0232696533203,0.0018,-0.00198364257812,-0.00820159912109,0.0018,0.00831604003906,0.0190734863281,0.0018,0.0504493713379,-0.0232696533203
0.0019,0.0137710571289,0.00400543212891,0.0019,-0.00350952148438,-0.0143051147461,0.0019,-0.023193359375,-0.0173568725586,0.0019,0.0146865844727,-0.0293731689453,0.0019,-0.0226020812988,-0.0293731689453,0.0019,0.0586318969727,-0.0143051147461,0.0019,0.0507354736328,-0.0293731689453,0.0019,-0.0604820251465,-0.0173568725586,0.0019,0.0852966308594,-0.0385284423828,0.0019,0.0513458251953,-0.00514984130859,0.0019,-0.0313758850098,-0.0263214111328,0.0019,-0.0383567810059,-0.0173568725586,0.0019,-0.00471115112305,-0.0112533569336,0.0019,0.0619506835938,-0.0202178955078,0.0019,-0.0480461120605,-0.0143051147461,0.0019,0.0301361083984,-0.0232696533203,0.0019,0.0131607055664,-0.0263214111328,0.0019,0.0886344909668,-0.00514984130859,0.0019,0.0916481018066,-0.0415802001953,0.0019,-0.102291107178,-0.00209808349609,0.0019,-0.0795745849609,0.00400543212891,0.0019,-0.0629043579102,0.000953674316406,0.0019,-0.0668334960938,-0.0263214111328,0.0019,-0.0556182861328,-0.00514984130859,0.0019,-0.048656463623,0.0190734863281,0.0019,-0.000171661376953,-0.0202178955078
0.002,0.0146865844727,0.000953674316406,0.002,-0.0037956237793,-0.0143051147461,0.002,-0.0204658508301,-0.0143051147461,0.002,0.0164985656738,-0.0293731689453,0.002,-0.0265312194824,-0.0263214111328,0.002,0.0610542297363,-0.0173568725586,0.002,0.0571060180664,-0.0324249267578,0.002,-0.0516891479492,-0.0202178955078,0.002,0.0728607177734,-0.0354766845703,0.002,0.0722694396973,-0.0112533569336,0.002,0.00194549560547,-0.0324249267578,0.002,-0.00137329101562,-0.0202178955078,0.002,-0.0483512878418,-0.00514984130859,0.002,0.0974082946777,-0.0232696533203,0.002,0.00194549560547,-0.0173568725586,0.002,-0.0222969055176,-0.0173568725586,0.002,-0.0407791137695,-0.0202178955078,0.002,0.0740814208984,0.00400543212891,0.002,0.104999542236,-0.0385284423828,0.002,-0.0919914245605,-0.00514984130859,0.002,-0.0629043579102,-0.00209808349609,0.002,-0.00955581665039,-0.00209808349609,0.002,-0.0583457946777,-0.0293731689453,0.002,-0.0807762145996,-0.0112533569336,0.002,-0.0823020935059,0.0190734863281,0.002,-0.0531959533691,-0.0202178955078
0.0021,0.0152778625488,0.000953674316406,0.0021,-0.0056266784668,-0.0143051147461,0.0021,-0.0180435180664,-0.0173568725586,0.0021,0.0186157226562,-0.0293731689453,0.0021,-0.0298690795898,-0.0232696533203,0.0021,0.0628662109375,-0.0173568725586,0.0021,0.0607490539551,-0.0324249267578,0.0021,-0.0392532348633,-0.0232696533203,0.0021,0.0552940368652,-0.0385284423828,0.0021,0.0874137878418,-0.0112533569336,0.0021,0.036506652832,-0.0293731689453,0.0021,0.0401306152344,-0.0263214111328,0.0021,-0.0859260559082,-0.00209808349609,0.0021,0.115909576416,-0.0232696533203,0.0021,0.0498390197754,-0.0202178955078,0.0021,-0.0722885131836,-0.0143051147461,0.0021,-0.0826072692871,-0.0202178955078,0.0021,0.0355911254883,0.00991821289062,0.0021,0.0852966308594,-0.0293731689453,0.0021,-0.050163269043,-0.0143051147461,0.0021,-0.0156211853027,-0.0112533569336,0.0021,0.0480079650879,-0.00514984130859,0.0021,-0.0128936767578,-0.0385284423828,0.0021,-0.0601768493652,-0.0173568725586,0.0021,-0.075626373291,0.00686645507812,0.0021,-0.0744247436523,-0.0263214111328
